이름,태그
데이터타입,"자료형, 형변환"
"JVM,JRE,JDK",
JVM 측면,메모리
String,
"객체지향, 변수, 메서드",
싱글톤,
Inheritance Encapsulation Polymorphism,
Exception,
Collection Framework,
,
,
