이름,태그
Cluster Architecture,
docker vs containerd,
"ETCD ",
kube-api,
kube-controller manager,
kube-scheduler,
kueblet,
kube-proxy,
Pods,
Pods with YAML,
Replication Controller,
Deployments,
Services,
namespaces,
Imperative vs Declarative,
apply,
