이름,태그
" 1.2 패러다임의 불일치",
1.3 JPA란 무엇인가?,
3. 영속성 관리,
4. 엔티티 매핑,
5. 연관관계 매핑 기초,
6. 다양한 연관관계 매핑,
7. 고급 매핑,
12. 스프링 데이터 JPA,
