이름
Just don’t let anybody in my office under any conditions today.
"Got to go, I have to take this."
"Why don’t you go in there, Dwight, and find these people a plan that’ll work for them, okay?"
You let him walk all over you.
Trying to give the troops a boost / take a spin on your big ride
I was thinking that maybe we could take them down to take a spin on your big ride
Someone in this office is coming up with all this ridiculous stuff.
You could be referring to anything.
"I get no pleasure out of saying the words,"
passed through
"I have had her go out and find out whose birthday is coming up,"
"Of course, by saying that, she was gambling that I wouldn’t smack her"
"If you haven’t already gotten a cake, maybe go in for one of those ice cream cakes from Baskin Robbins."
"I spend hours thinking of ways to get back at him, but only in ways that would get me arrested"
That ties in perfectly with something that Michael was telling me earlier.
"That’s not me being mean,"
You kind of have your foot in both camps
You should know me better than that
That place is like the promised land to me
I should never have let the temp touch this thing
I should never have let the temp touch this thing
I kind of play that close to the chest
Is that it?
it’s going to take you a while to adjust to civilian life
that he should have taken his own life in this way is a mystery and a shock to all who knew him
