이름,태그
자바(Java Programming Language),
"형변환(캐스팅, casting)",
객체지향언어,
모던 자바 동시성 (virtual thread 위주),
메서드 하이딩,static
virtual thread - 고정 문제,
reentrantlock,
구조적 동시성,
stream 사용법,
