이름,태그
객체지향 설계와 스프링,
객체지향 원리 적용,
"IoC, DI",
웹 애플리케이션과 싱글톤,
스프링 빈 생명주기,
템플릿 메서드 패턴,
"프록시, 데코레이터 패턴",
동적 프록시,
CGLIB,
프록시 팩토리,
"포인트컷, 어드바이스, 어드바이저",
빈 후처리기,
AOP,
전략 패턴,
템플릿 콜백 패턴,
