이름,태그
1. Array,
2. LinkedList,
3. Array VS LinkedList,
4.  Queue,"Q vs PQ, 스택 1개 큐 2개"
5. Stack,큐 1개 스택 2개
6. Heap,
7. Binary Search Tree,"AVL, Red-Black"
8. Hash table,Java HashMap
