이름,태그
영속성 컨텍스트,
플러시,
엔티티 매핑,
기본 키 매핑,
연관관계 매핑,
상속관계 매핑,
프록시와 연관관계,
즉시 로딩 / 지연 로딩,
영속성 전이(CASCADE)와 고아 객체,
값 타입 컬렉션,
JPQL,
프로젝션,
페이징,spring data jpa
벌크성 수정 쿼리,spring data jpa
EntityGraph,spring data jpa
QueryHint,
